copy	count
748	13
1738	13
1310	13
1240	13
1254	13
1208	13
1012	13
994	13
1304	13
1605	12
1094	12
1095	12
1361	12
1852	12
1571	12
1974	12
1862	12
1529	12
1528	12
1105	12
1106	12
1285	12
1200	12
1091	12
999	12
1812	12
1347	12
1087	12
1792	12
1078	12
1319	12
1330	12
1051	12
1678	12
1064	12
1718	12
1728	12
1736	12
1525	12
1122	12
1520	12
1513	12
1206	12
1405	12
1015	12
1426	12
1223	12
1432	12
1433	12
1182	12
1176	12
1231	12
2189	12
1447	12
6057	12
1171	12
1170	12
1325	12
1376	12
985	12
961	12
1151	12
1244	12
1471	12
1137	12
1003	12
1364	12
1255	12
1283	12
1890	12
1201	12
993	12
31156	12
2518	12
872	12
2524	12
833	12
818	12
898	12
910	12
885	12
797	12
836	12
920	12
788	12
740	12
831	12
2406	12
1004	11
1406	11
2071	11
1079	11
1009	11
1048	11
1556	11
1623	11
1404	11
1355	11
1554	11
1250	11
1805	11
16315	11
992	11
1634	11
1638	11
1011	11
1553	11
1256	11
2056	11
1205	11
1345	11
1515	11
1357	11
1369	11
1584	11
2617	11
1843	11
1375	11
1436	11
1167	11
1216	11
7607	11
1579	11
2047	11
1897	11
1054	11
1214	11
982	11
1576	11
1032	11
1602	11
1235	11
1059	11
1025	11
1024	11
1062	11
1390	11
1209	11
1480	11
1241	11
1394	11
986	11
1198	11
947	11
891	11
1189	11
1917	11
1758	11
958	11
1872	11
1139	11
1183	11
1096	11
1181	11
919	11
1295	11
964	11
1309	11
942	11
1512	11
926	11
1466	11
1103	11
1518	11
935	11
1307	11
929	11
1299	11
2223	11
2081	11
1084	11
1767	11
1270	11
1412	11
2215	11
5365	11
1269	11
1697	11
875	11
1083	11
1133	11
2105	11
1273	11
1152	11
1540	11
725	11
1180	10
1055	10
1524	10
1090	10
1202	10
4737	10
1099	10
1424	10
1516	10
2418	10
1427	10
1197	10
1503	10
2323	10
1575	10
1574	10
1507	10
1533	10
2136	10
1191	10
1892	10
1408	10
1302	10
1110	10
1066	10
1563	10
2371	10
3105	10
1535	10
27228	10
1396	10
1389	10
1098	10
1068	10
1037	10
1047	10
1802	10
1274	10
2095	10
1686	10
1340	10
978	10
1266	10
1131	10
1343	10
980	10
2206	10
1261	10
2266	10
1673	10
1785	10
1454	10
963	10
888	10
4127	10
1722	10
1740	10
1727	10
2237	10
1725	10
3916	10
3713	10
1308	10
1328	10
1146	10
946	10
1315	10
2584	10
2100	10
1324	10
769	10
1795	10
3608	10
1232	10
1349	10
1607	10
1606	10
1236	10
1603	10
2183	10
2614	10
1366	10
1371	10
1837	10
1162	10
1842	10
1042	10
2178	10
1237	10
1609	10
1970	10
1450	10
1252	10
1249	10
1641	10
1627	10
2188	10
834	10
1972	10
1158	9
1934	9
1448	9
1150	9
1156	9
1464	9
2089	9
1924	9
1455	9
1457	9
1428	9
2873	9
1430	9
1111	9
1423	9
1186	9
1247	9
1975	9
1259	9
1260	9
2384	9
1267	9
1271	9
1336	9
1335	9
1275	9
24878	9
1277	9
2706	9
2000	9
1284	9
1289	9
1290	9
1293	9
2014	9
2036	9
1356	9
2754	9
1957	9
2374	9
1190	9
1203	9
1954	9
1956	9
1207	9
2664	9
1211	9
1217	9
1969	9
1386	9
1218	9
1378	9
2381	9
7584	9
1144	9
1229	9
1233	9
1465	9
2397	9
1143	9
1076	9
1566	9
1063	9
1679	9
1565	9
1555	9
977	9
2216	9
2265	9
1548	9
1545	9
893	9
1760	9
2326	9
2256	9
886	9
1538	9
1534	9
5185	9
2336	9
5853	9
1667	9
2537	9
1666	9
2173	9
1014	9
1625	9
1828	9
816	9
3322	9
27864	9
1830	9
1642	9
998	9
1030	9
1596	9
1036	9
1591	9
3944	9
1588	9
2099	9
1587	9
1583	9
5944	9
2132	9
1618	9
1884	9
1107	9
1120	9
1494	9
1491	9
1896	9
1895	9
1889	9
1913	9
1723	9
1502	9
1914	9
1119	9
2997	9
1751	9
1490	9
1915	9
1134	9
2954	9
1747	9
1879	9
1904	9
1877	9
1101	9
1468	9
1977	8
1652	8
1985	8
1312	8
1798	8
1329	8
1352	8
1719	8
1721	8
1804	8
1746	8
4636	8
1809	8
1644	8
1745	8
18868	8
1631	8
2011	8
1660	8
1672	8
1314	8
1688	8
1755	8
1709	8
1326	8
1701	8
1759	8
1700	8
1334	8
1614	8
1712	8
1765	8
1321	8
2713	8
1316	8
2401	8
1776	8
1993	8
1991	8
1681	8
1680	8
1317	8
1331	8
1786	8
1749	8
1715	8
1699	8
3748	8
1358	8
2645	8
